Test_Type,Node_Count,Fanout,Test_Run,Result,Details
fanout,20,6,22,SUCCESS,Valid fanout optimization
fanout,20,6,23,SUCCESS,Valid fanout optimization
fanout,20,6,24,SUCCESS,Valid fanout optimization
fanout,20,6,25,SUCCESS,Valid fanout optimization
fanout,20,6,26,SUCCESS,Valid fanout optimization
fanout,20,6,27,SUCCESS,Valid fanout optimization
fanout,20,6,28,SUCCESS,Valid fanout optimization
fanout,20,6,29,SUCCESS,Valid fanout optimization
fanout,20,6,30,SUCCESS,Valid fanout optimization
dissemination,10,3,1,SUCCESS,Valid message dissemination
dissemination,10,3,2,SUCCESS,Valid message dissemination
dissemination,10,3,3,SUCCESS,Valid message dissemination
dissemination,10,3,4,SUCCESS,Valid message dissemination
dissemination,10,3,5,SUCCESS,Valid message dissemination
dissemination,10,3,6,SUCCESS,Valid message dissemination
dissemination,10,3,7,SUCCESS,Valid message dissemination
dissemination,10,3,8,SUCCESS,Valid message dissemination
dissemination,10,3,9,SUCCESS,Valid message dissemination
dissemination,10,3,10,SUCCESS,Valid message dissemination
dissemination,10,3,11,SUCCESS,Valid message dissemination
dissemination,10,3,12,SUCCESS,Valid message dissemination
dissemination,10,3,13,SUCCESS,Valid message dissemination
dissemination,10,3,14,SUCCESS,Valid message dissemination
dissemination,10,3,15,SUCCESS,Valid message dissemination
dissemination,10,3,16,SUCCESS,Valid message dissemination
dissemination,10,3,17,SUCCESS,Valid message dissemination
dissemination,10,3,18,SUCCESS,Valid message dissemination
dissemination,10,3,19,SUCCESS,Valid message dissemination
dissemination,10,3,20,SUCCESS,Valid message dissemination
dissemination,10,3,21,SUCCESS,Valid message dissemination
dissemination,10,3,22,SUCCESS,Valid message dissemination
dissemination,10,3,23,SUCCESS,Valid message dissemination
dissemination,10,3,24,SUCCESS,Valid message dissemination
dissemination,10,3,25,SUCCESS,Valid message dissemination
dissemination,10,3,26,SUCCESS,Valid message dissemination
dissemination,10,3,27,SUCCESS,Valid message dissemination
dissemination,10,3,28,SUCCESS,Valid message dissemination
dissemination,10,3,29,SUCCESS,Valid message dissemination
dissemination,10,3,30,SUCCESS,Valid message dissemination
dissemination,20,3,1,SUCCESS,Valid message dissemination
dissemination,20,3,2,SUCCESS,Valid message dissemination
dissemination,20,3,3,SUCCESS,Valid message dissemination
dissemination,20,3,4,SUCCESS,Valid message dissemination
dissemination,20,3,5,SUCCESS,Valid message dissemination
